Nome,Nivel,Dano/Cura,Cadência ,Alcance/Tempo,Munição/Custo SP,Recarga,Bullet Speed,Engrenagens
Default,1,2,0.25,400,8,1.5,800,0
Default,2,3,0.25,400,10,1.3,800,0
Default,3,4,0.25,400,12,1,800,0
Shotgun,1,1,1,250,4,3,600,6
Shotgun,2,2,1,250,6,2.5,600,12
Shotgun,3,3,1,250,8,2,600,18
Bazooka,1,2,0,1050,1,4,900,8
Bazooka,2,3,0,1050,1,3.5,900,14
Bazooka,3,4,0,1050,1,3,900,20
Fall,1,10,0,400,4,0,0,6
Fall,2,12,0,400,3,0,0,10
Fall,3,14,0,400,2,0,0,14
Machinegun,1,1,0.075,525,12,3,800,8
Machinegun,2,1,0.1125,525,18,2.5,800,14
Machinegun,3,1,0.15,525,22,2,800,20
Sniper,1,6,0,1500,1,4,1000,6
Sniper,2,6,0,1500,2,3.5,1000,12
Sniper,3,10,0,1500,3,3,1000,18
Slow,1,0,0,2,3,4,0,6
Slow,2,0,0,4,2,3,0,12
Slow,3,0,0,6,1,2,0,18
Rolamento,1,0,0,0,1,0,0,4
Dash,1,0,0,0,2,2,0,4
Dash,2,0,0,0,2,1,0,8
Dash,3,0,0,0,1,0,0,12
Skull,1,1,0,0,0,35,0,4
Skull,2,1,0,0,0,30,0,8
Skull,3,1,0,0,0,25,0,12
