Nome,Nivel,Dano/Cura,Cadência ,Alcance/Tempo,Munição/Custo SP,Recarga,Bullet Speed,Engrenagens
Default,1,2,0.25,400,8,1.5,800,0
Default,2,3,0.225,400,10,1.3,800,8
Default,3,4,0.2,400,12,1,800,14
Shotgun,1,1,1,250,4,3,600,10
Shotgun,2,2,1,250,6,2.5,600,14
Shotgun,3,3,1,250,8,2,600,22
Bazooka,1,2,0,500,1,4,600,12
Bazooka,2,3,0,500,1,4,600,22
Bazooka,3,4,0,500,1,4,600,32
Fall,1,10,0,400,4,0,0,8
Fall,2,12,0,400,3,0,0,16
Fall,3,14,0,400,2,0,0,20
Machinegun,1,1,0.15,500,16,3.5,1000,10
Machinegun,2,1,0.1,500,22,3,1000,18
Machinegun,3,1,0.07,500,30,2.5,1000,24
Sniper,1,5,0,1100,1,4,2000,12
Sniper,2,7,0,1100,1,4,2000,20
Sniper,3,9,1.5,1100,2,4,2000,28
Slow,1,0,0,2,3,4,0,8
Slow,2,0,0,4,2,3,0,12
Slow,3,0,0,6,1,2,0,18
Rolamento,1,0,0,0,1,0,0,4
Dash,1,0,0,0,2,2,0,8
Dash,2,0,0,0,2,1,0,12
Dash,3,0,0,0,1,0,0,18
Skull,1,1,0,0,0,35,0,10
Skull,2,1,0,0,0,30,0,14
Skull,3,1,0,0,0,25,0,20
